# журнал мастера, запуск 2026-09-05 04:52:18
# время	часы	источник	событие	подробности
04:56:50	270.6	осц	/zone3/count	зона 3 сессия 39 гость  | 2
04:56:50	270.6	осц	/zone3/count	зона 3 сессия 39 гость  | 1
04:56:50	270.8	осц	/zone3/count	зона 3 сессия 39 гость  | 2
04:56:50	270.9	осц	/zone3/count	зона 3 сессия 39 гость  | 1
04:56:50	271.4	ui	источник трекинга -> playback	
04:56:50	271.4	трекинг	БИКОНОВ НЕ ВИДНО	источник playback, видно 0
04:56:51	271.6	трекинг	источник playback	видно биконов: 0
04:56:51	271.9	настройки	сохранены в settings.local.json (автосохранение)	
04:56:52	272.5	ui	источник трекинга -> sim	
04:56:52	272.6	трекинг	источник sim	видно биконов: 1
04:56:52	273.0	настройки	сохранены в settings.local.json (автосохранение)	
04:56:52	273.4	трекинг	ПОТОК ИДЁТ	источник sim, видно 1
04:56:55	276.4	трекинг	ПОТОК ЗАМЕР (биконы видны, координаты не меняются)	источник sim, видно 1
04:56:59	280.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 1
04:57:09	290.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:57:19	300.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:57:19	300.4	zone3	СЦЕНА ЗАТЯНУЛАСЬ	идёт 300 с, финиша нет
04:57:19	300.4	zone	зона 3: сцена идёт 300 с без финиша	
04:57:29	310.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:57:39	320.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:57:49	330.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:57:55	336.1	трекинг	источник sim	видно биконов: 0
04:57:55	336.1	трекинг	СКАЧОК	beacon2: 0.08 м за кадр (10 м/с) — держу старую позицию
04:57:55	336.4	трекинг	ПОТОК ИДЁТ	источник sim, видно 3
04:57:58	339.4	трекинг	ПОТОК ЗАМЕР (биконы видны, координаты не меняются)	источник sim, видно 3
04:57:59	340.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 3
04:58:09	350.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:58:16	356.4	трекинг	СКАЧОК	beacon0: 1.69 м за кадр (102 м/с) — держу старую позицию
04:58:19	360.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:58:25	365.8	ui	источник трекинга -> live	
04:58:25	366.1	трекинг	источник live	видно биконов: 0
04:58:25	366.3	настройки	сохранены в settings.local.json (автосохранение)	
04:58:29	370.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:58:39	380.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:58:49	390.4	трекинг	отчёт трекинга	источник live | состояние замер | видно 3 (1,3,6) | изменений за 10 с: 0
04:58:55	396.3	трекинг	СКАЧОК	beacon5: 0.24 м за кадр (14 м/с) — держу старую позицию
